class	ending	s0	name	value	target	trial_type	prompt	stimulus	choices
művelt	ett	Ez egy bondett.	s2	Elneveztem a kutyámat bondettnak.	bondett	dat	<p>Ez egy bondett. Elneveztem a kutyámat bondettnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">bondett</p>	
művelt	ett	Ez egy pofszett.	s1	Azok ott pofszettok.	pofszett	dat	<p>Ez egy pofszett. Azok ott pofszettok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">pofszett</p>	
művelt	ett	Ez egy pofszett.	s2	Elneveztem a kutyámat pofszettnak.	pofszett	dat	<p>Ez egy pofszett. Elneveztem a kutyámat pofszettnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">pofszett</p>	
művelt	ett	Ez egy ojett.	s1	Azok ott ojettok.	ojett	dat	<p>Ez egy ojett. Azok ott ojettok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">ojett</p>	
művelt	ett	Ez egy ojett.	s2	Elneveztem a kutyámat ojettnak.	ojett	dat	<p>Ez egy ojett. Elneveztem a kutyámat ojettnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">ojett</p>	
művelt	ens	Ez egy slotens.	s1	Azok ott slotensok.	slotens	dat	<p>Ez egy slotens. Azok ott slotensok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">slotens</p>	
művelt	ens	Ez egy slotens.	s2	Elneveztem a kutyámat slotensnak.	slotens	dat	<p>Ez egy slotens. Elneveztem a kutyámat slotensnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">slotens</p>	
művelt	ens	Ez egy hókens.	s1	Azok ott hókensok.	hókens	dat	<p>Ez egy hókens. Azok ott hókensok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">hókens</p>	
művelt	ens	Ez egy hókens.	s2	Elneveztem a kutyámat hókensnak.	hókens	dat	<p>Ez egy hókens. Elneveztem a kutyámat hókensnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">hókens</p>	
művelt	ens	Ez egy pódens.	s1	Azok ott pódensok.	pódens	dat	<p>Ez egy pódens. Azok ott pódensok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">pódens</p>	
művelt	ens	Ez egy pódens.	s2	Elneveztem a kutyámat pódensnak.	pódens	dat	<p>Ez egy pódens. Elneveztem a kutyámat pódensnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">pódens</p>	
művelt	ens	Ez egy voglens.	s1	Azok ott voglensok.	voglens	dat	<p>Ez egy voglens. Azok ott voglensok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">voglens</p>	
művelt	ens	Ez egy voglens.	s2	Elneveztem a kutyámat voglensnak.	voglens	dat	<p>Ez egy voglens. Elneveztem a kutyámat voglensnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">voglens</p>	
művelt	ens	Ez egy loftvens.	s1	Azok ott loftvensok.	loftvens	dat	<p>Ez egy loftvens. Azok ott loftvensok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">loftvens</p>	
művelt	ens	Ez egy loftvens.	s2	Elneveztem a kutyámat loftvensnak.	loftvens	dat	<p>Ez egy loftvens. Elneveztem a kutyámat loftvensnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">loftvens</p>	
művelt	ex	Ez egy dubex.	s1	Azok ott dubexok.	dubex	dat	<p>Ez egy dubex. Azok ott dubexok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">dubex</p>	
művelt	ex	Ez egy dubex.	s2	Elneveztem a kutyámat dubexnak.	dubex	dat	<p>Ez egy dubex. Elneveztem a kutyámat dubexnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">dubex</p>	
művelt	ex	Ez egy kojex.	s1	Azok ott kojexok.	kojex	dat	<p>Ez egy kojex. Azok ott kojexok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kojex</p>	
művelt	ex	Ez egy kojex.	s2	Elneveztem a kutyámat kojexnak.	kojex	dat	<p>Ez egy kojex. Elneveztem a kutyámat kojexnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kojex</p>	
művelt	ex	Ez egy tokex.	s1	Azok ott tokexok.	tokex	dat	<p>Ez egy tokex. Azok ott tokexok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">tokex</p>	
művelt	ex	Ez egy tokex.	s2	Elneveztem a kutyámat tokexnak.	tokex	dat	<p>Ez egy tokex. Elneveztem a kutyámat tokexnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">tokex</p>	
művelt	ex	Ez egy bojex.	s1	Azok ott bojexok.	bojex	dat	<p>Ez egy bojex. Azok ott bojexok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">bojex</p>	
művelt	ex	Ez egy bojex.	s2	Elneveztem a kutyámat bojexnak.	bojex	dat	<p>Ez egy bojex. Elneveztem a kutyámat bojexnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">bojex</p>	
művelt	ex	Ez egy trumlex.	s1	Azok ott trumlexok.	trumlex	dat	<p>Ez egy trumlex. Azok ott trumlexok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">trumlex</p>	
művelt	ex	Ez egy trumlex.	s2	Elneveztem a kutyámat trumlexnak.	trumlex	dat	<p>Ez egy trumlex. Elneveztem a kutyámat trumlexnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">trumlex</p>	
művelt	em	Ez egy mojem.	s1	Azok ott mojemok.	mojem	dat	<p>Ez egy mojem. Azok ott mojemok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">mojem</p>	
művelt	em	Ez egy mojem.	s2	Elneveztem a kutyámat mojemnak.	mojem	dat	<p>Ez egy mojem. Elneveztem a kutyámat mojemnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">mojem</p>	
művelt	em	Ez egy ubrem.	s1	Azok ott ubremok.	ubrem	dat	<p>Ez egy ubrem. Azok ott ubremok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">ubrem</p>	
művelt	em	Ez egy ubrem.	s2	Elneveztem a kutyámat ubremnak.	ubrem	dat	<p>Ez egy ubrem. Elneveztem a kutyámat ubremnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">ubrem</p>	
művelt	em	Ez egy tosztem.	s1	Azok ott tosztemok.	tosztem	dat	<p>Ez egy tosztem. Azok ott tosztemok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">tosztem</p>	
művelt	em	Ez egy tosztem.	s2	Elneveztem a kutyámat tosztemnak.	tosztem	dat	<p>Ez egy tosztem. Elneveztem a kutyámat tosztemnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">tosztem</p>	
művelt	em	Ez egy próngem.	s1	Azok ott próngemok.	próngem	dat	<p>Ez egy próngem. Azok ott próngemok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">próngem</p>	
művelt	em	Ez egy próngem.	s2	Elneveztem a kutyámat próngemnak.	próngem	dat	<p>Ez egy próngem. Elneveztem a kutyámat próngemnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">próngem</p>	
művelt	em	Ez egy plosztem.	s1	Azok ott plosztemok.	plosztem	dat	<p>Ez egy plosztem. Azok ott plosztemok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">plosztem</p>	
művelt	em	Ez egy plosztem.	s2	Elneveztem a kutyámat plosztemnak.	plosztem	dat	<p>Ez egy plosztem. Elneveztem a kutyámat plosztemnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">plosztem</p>	
bizalmas	er	Ez egy bórcer.	s1	Azok ott bórcerok.	bórcer	dat	<p>Ez egy bórcer. Azok ott bórcerok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">bórcer</p>	
bizalmas	er	Ez egy bórcer.	s2	Elneveztem a kutyámat bórcernak.	bórcer	dat	<p>Ez egy bórcer. Elneveztem a kutyámat bórcernak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">bórcer</p>	
bizalmas	er	Ez egy suter.	s1	Azok ott suterok.	suter	dat	<p>Ez egy suter. Azok ott suterok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">suter</p>	
bizalmas	er	Ez egy suter.	s2	Elneveztem a kutyámat suternak.	suter	dat	<p>Ez egy suter. Elneveztem a kutyámat suternak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">suter</p>	
bizalmas	er	Ez egy stokler.	s1	Azok ott stoklerok.	stokler	dat	<p>Ez egy stokler. Azok ott stoklerok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">stokler</p>	
bizalmas	er	Ez egy stokler.	s2	Elneveztem a kutyámat stoklernak.	stokler	dat	<p>Ez egy stokler. Elneveztem a kutyámat stoklernak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">stokler</p>	
bizalmas	er	Ez egy kajler.	s1	Azok ott kajlerok.	kajler	dat	<p>Ez egy kajler. Azok ott kajlerok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kajler</p>	
bizalmas	er	Ez egy kajler.	s2	Elneveztem a kutyámat kajlernak.	kajler	dat	<p>Ez egy kajler. Elneveztem a kutyámat kajlernak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kajler</p>	
bizalmas	er	Ez egy kokker.	s1	Azok ott kokkerok.	kokker	dat	<p>Ez egy kokker. Azok ott kokkerok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kokker</p>	
bizalmas	er	Ez egy kokker.	s2	Elneveztem a kutyámat kokkernak.	kokker	dat	<p>Ez egy kokker. Elneveztem a kutyámat kokkernak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kokker</p>	
bizalmas	esz	Ez egy kamesz.	s1	Azok ott kameszok.	kamesz	dat	<p>Ez egy kamesz. Azok ott kameszok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kamesz</p>	
bizalmas	esz	Ez egy kamesz.	s2	Elneveztem a kutyámat kamesznak.	kamesz	dat	<p>Ez egy kamesz. Elneveztem a kutyámat kamesznak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kamesz</p>	
bizalmas	esz	Ez egy bachesz.	s1	Azok ott bacheszok.	bachesz	dat	<p>Ez egy bachesz. Azok ott bacheszok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">bachesz</p>	
bizalmas	esz	Ez egy bachesz.	s2	Elneveztem a kutyámat bachesznak.	bachesz	dat	<p>Ez egy bachesz. Elneveztem a kutyámat bachesznak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">bachesz</p>	
bizalmas	esz	Ez egy takkesz.	s1	Azok ott takkeszok.	takkesz	dat	<p>Ez egy takkesz. Azok ott takkeszok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">takkesz</p>	
bizalmas	esz	Ez egy takkesz.	s2	Elneveztem a kutyámat takkesznak.	takkesz	dat	<p>Ez egy takkesz. Elneveztem a kutyámat takkesznak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">takkesz</p>	
bizalmas	esz	Ez egy kampesz.	s1	Azok ott kampeszok.	kampesz	dat	<p>Ez egy kampesz. Azok ott kampeszok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kampesz</p>	
bizalmas	esz	Ez egy kampesz.	s2	Elneveztem a kutyámat kampesznak.	kampesz	dat	<p>Ez egy kampesz. Elneveztem a kutyámat kampesznak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kampesz</p>	
bizalmas	esz	Ez egy gortesz.	s1	Azok ott gorteszok.	gortesz	dat	<p>Ez egy gortesz. Azok ott gorteszok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">gortesz</p>	
bizalmas	esz	Ez egy gortesz.	s2	Elneveztem a kutyámat gortesznak.	gortesz	dat	<p>Ez egy gortesz. Elneveztem a kutyámat gortesznak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">gortesz</p>	
bizalmas	ek	Ez egy flotek.	s1	Azok ott flotekok.	flotek	dat	<p>Ez egy flotek. Azok ott flotekok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">flotek</p>	
bizalmas	ek	Ez egy flotek.	s2	Elneveztem a kutyámat floteknak.	flotek	dat	<p>Ez egy flotek. Elneveztem a kutyámat floteknak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">flotek</p>	
bizalmas	ek	Ez egy bralek.	s1	Azok ott bralekok.	bralek	dat	<p>Ez egy bralek. Azok ott bralekok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">bralek</p>	
bizalmas	ek	Ez egy bralek.	s2	Elneveztem a kutyámat braleknak.	bralek	dat	<p>Ez egy bralek. Elneveztem a kutyámat braleknak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">bralek</p>	
bizalmas	ek	Ez egy saklek.	s1	Azok ott saklekok.	saklek	dat	<p>Ez egy saklek. Azok ott saklekok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">saklek</p>	
bizalmas	ek	Ez egy saklek.	s2	Elneveztem a kutyámat sakleknak.	saklek	dat	<p>Ez egy saklek. Elneveztem a kutyámat sakleknak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">saklek</p>	
bizalmas	ek	Ez egy kumek.	s1	Azok ott kumekok.	kumek	dat	<p>Ez egy kumek. Azok ott kumekok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kumek</p>	
bizalmas	ek	Ez egy kumek.	s2	Elneveztem a kutyámat kumeknak.	kumek	dat	<p>Ez egy kumek. Elneveztem a kutyámat kumeknak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kumek</p>	
bizalmas	ek	Ez egy kacsek.	s1	Azok ott kacsekok.	kacsek	dat	<p>Ez egy kacsek. Azok ott kacsekok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kacsek</p>	
bizalmas	ek	Ez egy kacsek.	s2	Elneveztem a kutyámat kacseknak.	kacsek	dat	<p>Ez egy kacsek. Elneveztem a kutyámat kacseknak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kacsek</p>	
bizalmas	ec	Ez egy baktec.	s1	Azok ott baktecok.	baktec	dat	<p>Ez egy baktec. Azok ott baktecok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">baktec</p>	
bizalmas	ec	Ez egy baktec.	s2	Elneveztem a kutyámat baktecnak.	baktec	dat	<p>Ez egy baktec. Elneveztem a kutyámat baktecnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">baktec</p>	
bizalmas	ec	Ez egy szkatyec.	s1	Azok ott szkatyecok.	szkatyec	dat	<p>Ez egy szkatyec. Azok ott szkatyecok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">szkatyec</p>	
bizalmas	ec	Ez egy szkatyec.	s2	Elneveztem a kutyámat szkatyecnak.	szkatyec	dat	<p>Ez egy szkatyec. Elneveztem a kutyámat szkatyecnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">szkatyec</p>	
bizalmas	ec	Ez egy pratec.	s1	Azok ott pratecok.	pratec	dat	<p>Ez egy pratec. Azok ott pratecok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">pratec</p>	
bizalmas	ec	Ez egy pratec.	s2	Elneveztem a kutyámat pratecnak.	pratec	dat	<p>Ez egy pratec. Elneveztem a kutyámat pratecnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">pratec</p>	
bizalmas	ec	Ez egy sapec.	s1	Azok ott sapecok.	sapec	dat	<p>Ez egy sapec. Azok ott sapecok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">sapec</p>	
